,asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,product_availability
109,B091699Z3W,"Kasa Smart Plug Ultra Mini 15A, Smart Home Wi-Fi Outlet Works with Alexa, Google Home &amp; IFTTT, No Hub Required, UL Certified, 2.4G WiFi Only, 1-Pack(EP10), White",7.99,9.99,4.5,13674,1,7.99,False,False,True,True,1K+ bought in past month,False,
110,B07XKF5RM3,"Amazon Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",99.99,,4.7,147776,4,63.92,False,False,True,True,9K+ bought in past month,True,
111,B08VZCBWN8,"Amazon Kindle Paperwhite Case (11th Generation), Lightweight and Water-Safe, Foldable Protective Cover - Fabric",22.99,34.99,4.7,18554,13,11.62,False,False,True,True,10K+ bought in past month,False,
112,B01LWJ1J1Q,"MoKo Case Fits 6&quot; Kindle Paperwhite(10th Gen, 2018 Releases)/All Paperwhite 2012-2017, Auto Wake/Sleep Standing Origami Slim Shell Cover with Auto Wake/Sleep for Amazon Kindle Paperwhite 2018, Indigo",25.99,39.99,4.4,2795,1,25.99,False,False,True,False,($5.49$5.49/in),False,Only 7 left in stock - order soon.
113,B0BVP386MC,Echo Show 8 (3rd Gen) Adjustable Stand with USB-C Charging Port | Charcoal,34.99,,4.5,4029,4,27.07,False,False,True,True,9K+ bought in past month,False,
114,B0C4BZ28PG,"Amazon Fire TV Soundbar, 2.0 speaker with DTS Virtual:X and Dolby Audio, Bluetooth connectivity",104.99,119.99,4.2,3253,1,104.99,True,False,True,True,10K+ bought in past month,False,
115,B09BZZ3MM7,"Amazon Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",139.99,,4.5,11922,2,93.74,False,False,True,True,10K+ bought in past month,False,
116,B0BCR7M9KX,Amazon Echo Hub | 8” smart home control panel with Alexa | Compatible with thousands of devices,179.99,,3.8,622,1,179.99,False,False,True,True,,False,
117,B09CKN55DW,"Ring Stick Up Cam Pro, Battery | Two-Way Talk with Audio+, 3D Motion Detection with Bird’s Eye Zones, and 1080p HDR Video &amp; Color Night Vision (2023 release), White",179.99,,4.3,444,3,134.99,False,False,True,True,3K+ bought in past month,True,
118,B0BVPTMR5M,Blink Outdoor 4 Smart Security Camera Mounts – 3 Pack,12.99,,4.5,1205,6,11.95,False,False,True,False,10K+ bought in past month,False,
119,B0CB9PF1N6,"Amazon Echo Pop Kids | Designed for kids, with parental controls | Disney Princess",49.99,,4.7,1947,1,49.99,False,False,True,True,7K+ bought in past month,False,
120,B09TQ2YRFM,"Like-new Echo Show 5 (3rd Gen, 2023 release) | Smart display with 2x the bass and clearer sound | Charcoal",53.99,79.99,4.1,1094,1,53.99,False,False,True,False,6K+ bought in past month,True,
121,B096WH36VF,2 Year Accident Protection Plan for Fire 7 Tablet (2022 release),7.99,,4.1,220,1,7.99,True,False,False,False,1K+ bought in past month,False,
122,B0BB3JKGBQ,Ring 10 ft USB-A to Micro USB Power Cable for Indoor Cam - White,14.99,,4.7,2530,5,11.37,False,False,True,False,4K+ bought in past month,True,
